source_node_type,gcp_node_type,source_cloud,vcpus,ram_gb,notes,gcp_zone_hint
# ── Azure DS/D series (General Purpose) ───────────────────────────────────────
Standard_DS2_v2,n1-standard-2,azure,2,7,2 vCPU 7 GB,
Standard_DS3_v2,n1-standard-4,azure,4,14,4 vCPU 14 GB,us-east1-b
Standard_DS4_v2,n1-standard-8,azure,8,28,8 vCPU 28 GB,
Standard_DS5_v2,n1-standard-16,azure,16,56,16 vCPU 56 GB,
Standard_D2s_v3,n1-standard-2,azure,2,8,2 vCPU 8 GB,
Standard_D4s_v3,n1-standard-4,azure,4,16,4 vCPU 16 GB,us-east1-b
Standard_D8s_v3,n1-standard-8,azure,8,32,8 vCPU 32 GB,
Standard_D16s_v3,n1-standard-16,azure,16,64,16 vCPU 64 GB,
Standard_D32s_v3,n1-standard-32,azure,32,128,32 vCPU 128 GB,
Standard_D48s_v3,n1-standard-48,azure,48,192,48 vCPU 192 GB,
Standard_D64s_v3,n1-standard-64,azure,64,256,64 vCPU 256 GB,
Standard_D2s_v4,n1-standard-2,azure,2,8,2 vCPU 8 GB,
Standard_D4s_v4,n1-standard-4,azure,4,16,4 vCPU 16 GB,us-east1-b
Standard_D8s_v4,n1-standard-8,azure,8,32,8 vCPU 32 GB,
Standard_D16s_v4,n1-standard-16,azure,16,64,16 vCPU 64 GB,
Standard_D32s_v4,n1-standard-32,azure,32,128,32 vCPU 128 GB,
Standard_D2s_v5,n2-standard-2,azure,2,8,2 vCPU 8 GB - mapped to N2,
Standard_D4s_v5,n2-standard-4,azure,4,16,4 vCPU 16 GB - mapped to N2,
Standard_D8s_v5,n2-standard-8,azure,8,32,8 vCPU 32 GB - mapped to N2,
Standard_D16s_v5,n2-standard-16,azure,16,64,16 vCPU 64 GB - mapped to N2,
Standard_D32s_v5,n2-standard-32,azure,32,128,32 vCPU 128 GB - mapped to N2,
# ── Azure E series (Memory Optimised) ─────────────────────────────────────────
Standard_E2s_v3,n1-highmem-2,azure,2,16,2 vCPU 16 GB,
Standard_E4s_v3,n1-highmem-4,azure,4,32,4 vCPU 32 GB,
Standard_E8s_v3,n1-highmem-8,azure,8,64,8 vCPU 64 GB,
Standard_E16s_v3,n1-highmem-16,azure,16,128,16 vCPU 128 GB,
Standard_E32s_v3,n1-highmem-32,azure,32,256,32 vCPU 256 GB,
Standard_E64s_v3,n1-highmem-64,azure,64,432,64 vCPU 432 GB,
Standard_E2s_v4,n2-highmem-2,azure,2,16,2 vCPU 16 GB,
Standard_E4s_v4,n2-highmem-4,azure,4,32,4 vCPU 32 GB,
Standard_E8s_v4,n2-highmem-8,azure,8,64,8 vCPU 64 GB,
Standard_E16s_v4,n2-highmem-16,azure,16,128,16 vCPU 128 GB,
Standard_E32s_v4,n2-highmem-32,azure,32,256,32 vCPU 256 GB,
Standard_E4ds_v4,n2-highmem-4,azure,4,32,4 vCPU 32 GB (with local SSD),
Standard_E8ds_v4,n2-highmem-8,azure,8,64,8 vCPU 64 GB (with local SSD),
Standard_E16ds_v4,n2-highmem-16,azure,16,128,16 vCPU 128 GB (with local SSD),
Standard_E32ds_v4,n2-highmem-32,azure,32,256,32 vCPU 256 GB (with local SSD),
Standard_E2s_v5,n2-highmem-2,azure,2,16,2 vCPU 16 GB,
Standard_E4s_v5,n2-highmem-4,azure,4,32,4 vCPU 32 GB,
Standard_E8s_v5,n2-highmem-8,azure,8,64,8 vCPU 64 GB,
Standard_E16s_v5,n2-highmem-16,azure,16,128,16 vCPU 128 GB,
Standard_E32s_v5,n2-highmem-32,azure,32,256,32 vCPU 256 GB,
# user-specified example
Standard_E8d,n2d-highmem-8,azure,8,64,user-specified: E8d -> n2d-highmem-8,
Standard_E8d_v3,n2d-highmem-8,azure,8,64,8 vCPU 64 GB (AMD N2D),
Standard_E16d_v3,n2d-highmem-16,azure,16,128,16 vCPU 128 GB (AMD N2D),
